iconv -t ISO-8859-15 -f UTF-8 < utf8.pdf > iso-8859-15.pdf

20 40  
21 41 !
22 42 "
23 43 #
24 44 $
25 45 %
26 46 &
27 47 '
28 50 (
29 51 )
2A 52 *
2B 53 +
2C 54 ,
2D 55 -
2E 56 .
2F 57 /
30 60 0
31 61 1
32 62 2
33 63 3
34 64 4
35 65 5
36 66 6
37 67 7
38 70 8
39 71 9
3A 72 :
3B 73 ;
3C 74 <
3D 75 =
3E 76 >
3F 77 ?
40 100 @
41 101 A
42 102 B
43 103 C
44 104 D
45 105 E
46 106 F
47 107 G
48 110 H
49 111 I
4A 112 J
4B 113 K
4C 114 L
4D 115 M
4E 116 N
4F 117 O
50 120 P
51 121 Q
52 122 R
53 123 S
54 124 T
55 125 U
56 126 V
57 127 W
58 130 X
59 131 Y
5A 132 Z
5B 133 [
5C 134 \
5D 135 ]
5E 136 ^
5F 137 _
60 140 `
61 141 a
62 142 b
63 143 c
64 144 d
65 145 e
66 146 f
67 147 g
68 150 h
69 151 i
6A 152 j
6B 153 k
6C 154 l
6D 155 m
6E 156 n
6F 157 o
70 160 p
71 161 q
72 162 r
73 163 s
74 164 t
75 165 u
76 166 v
77 167 w
78 170 x
79 171 y
7A 172 z
7B 173 {
7C 174 |
7D 175 }
7E 176 ~


A0 240  
A1 241 ¡
A2 242 ¢
A3 243 £
A4 244 ¤
A5 245 ¥
A6 246 ¦
A7 247 §
A8 250 ¨
A9 251 ©
AA 252 ª
AB 253 «
AC 254 ¬
AD 255 ­
AE 256 ®
AF 257 ¯
B0 260 °
B1 261 ±
B2 262 ²
B3 263 ³
B4 264 ´
B5 265 µ
B6 266 ¶
B7 267 ·
B8 270 ¸
B9 271 ¹
BA 272 º
BB 273 »
BC 274 ¼
BD 275 ½
BE 276 ¾
BF 277 ¿
C0 300 À
C1 301 Á
C2 302 Â
C3 303 Ã
C4 304 Ä
C5 305 Å
C6 306 Æ
C7 307 Ç
C8 310 È
C9 311 É
CA 312 Ê
CB 313 Ë
CC 314 Ì
CD 315 Í
CE 316 Î
CF 317 Ï
D0 320 Ð
D1 321 Ñ
D2 322 Ò
D3 323 Ó
D4 324 Ô
D5 325 Õ
D6 326 Ö
D7 327 ×
D8 330 Ø
D9 331 Ù
DA 332 Ú
DB 333 Û
DC 334 Ü
DD 335 Ý
DE 336 Þ
DF 337 ß
E0 340 à
E1 341 á
E2 342 â
E3 343 ã
E4 344 ä
E5 345 å
E6 346 æ
E7 347 ç
E8 350 è
E9 351 é
EA 352 ê
EB 353 ë
EC 354 ì
ED 355 í
EE 356 î
EF 357 ï
F0 360 ð
F1 361 ñ
F2 362 ò
F3 363 ó
F4 364 ô
F5 365 õ
F6 366 ö
F7 367 ÷
F8 370 ø
F9 371 ù
FA 372 ú
FB 373 û
FC 374 ü
FD 375 ý
FE 376 þ
FF 377 ÿ

